user_id,age_group,populational_aff,gender,education,location_city,country,interest_tags
342,25 - 30,White/Caucasian,F,Master’s Degree,Faro,Portugal,
343,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,"Ginasio, Surf"
344,18 - 24,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,
345,18 - 24,Latino,M,High School,Lisboa,Portugal,
346,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
347,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
348,25 - 30,Asian,F,Master’s Degree,Lisboa,Portugal,
349,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
350,61 - 70,White/Caucasian,M,High School,Lisboa,Portugal,
351,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
352,18 - 24,Hispanic,M,Bachelor’s Degree,Porto,Portugal,
353,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
354,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
355,18 - 24,White/Caucasian,F,High School,Setúbal,Portugal,
356,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
357,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
358,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
